ID_ASISTENCIA,ENTRADA,SALIDA,ID_EMPLEADO
1,,,1
2,,,3
3,,,4
4,,,5
5,,,6
6,,,7
7,,,8
8,,,9
9,,,11
10,,,12
11,,,13
12,,,14
13,,,15
14,,,16
15,,,17
16,,,19
17,,,20
18,,,21
19,,,22
20,,,23
21,,,24
22,,,25
23,,,26
24,,,27
25,,,29
26,,,30
27,,,31
28,,,32
29,,,33
30,,,34
31,,,35
32,,,37
33,,,38
34,,,39
35,,,40
36,,,41
37,,,43
38,,,44
39,,,45
40,,,46
41,,,47
42,,,49
43,,,51
44,,,53
45,,,54
46,,,55
47,,,56
48,,,57
49,,,58
50,,,59
51,,,60
52,,,61
53,,,62
54,,,63
55,,,64
56,,,66
57,,,67
58,,,69
59,,,70
60,,,71
61,,,72
62,,,73
63,,,74
64,,,77
65,,,78
66,,,79
67,,,80
68,,,81
69,,,82
70,,,83
71,,,84
72,,,85
73,,,86
74,,,88
75,,,89
76,,,90
77,,,93
78,,,94
79,,,95
80,,,99
81,,,101
82,,,103
83,,,104
84,,,105
85,,,106
86,,,107
87,,,109
88,,,110
89,,,111
90,,,112
91,,,113
92,,,114
93,,,116
94,,,117
95,,,118
96,,,119
97,,,120
98,,,121
99,,,122
100,,,123
101,,,124
102,,,125
103,,,126
104,,,127
105,,,130
106,,,131
107,,,132
108,,,133
109,,,134
110,,,135
111,,,136
112,,,137
113,,,138
114,,,139
115,,,140
116,,,141
117,,,142
118,,,143
119,,,144
120,,,145
121,,,146
122,,,147
123,,,149
124,,,150
125,,,151
126,,,152
127,,,154
128,,,156
129,,,157
130,,,158
131,,,160
132,,,162
133,,,164
134,,,165
135,,,166
136,,,167
137,,,169
138,,,170
139,,,171
140,,,172
141,,,176
142,,,177
143,,,178
144,,,179
145,,,181
146,,,182
147,,,186
148,,,187
149,,,188
150,,,189
151,,,190
152,,,191
153,,,192
154,,,193
155,,,194
156,,,195
157,,,196
158,,,198
159,,,199
160,,,200
161,,,202
162,,,204
163,,,206
164,,,207
165,,,209
166,,,210
167,,,211
168,,,213
169,,,216
170,,,218
171,,,219
172,,,221
173,,,222
174,,,223
175,,,224
176,,,225
177,,,226
178,,,227
179,,,229
180,,,231
181,,,232
182,,,233
183,,,235
184,,,236
185,,,237
186,,,238
187,,,239
188,,,241
189,,,243
190,,,244
191,,,245
192,,,246
193,,,247
194,,,248
195,,,249
196,,,250
197,,,251
198,,,253
199,,,254
200,,,255
201,,,258
202,,,259
203,,,260
204,,,262
205,,,265
206,,,266
207,,,267
208,,,270
209,,,271
210,,,272
211,,,273
212,,,274
213,,,275
214,,,276
215,,,277
216,,,278
217,,,279
218,,,280
219,,,281
220,,,282
221,,,283
222,,,284
223,,,285
224,,,286
225,,,287
226,,,289
227,,,290
228,,,291
229,,,292
230,,,293
231,,,295
232,,,296
233,,,299
234,,,301
235,,,302
236,,,303
237,,,304
238,,,305
239,,,306
240,,,307
241,,,309
242,,,310
243,,,311
244,,,312
245,,,313
246,,,315
247,,,316
248,,,317
249,,,318
250,,,322
251,,,323
252,,,324
253,,,327
254,,,328
255,,,329
256,,,330
257,,,331
258,,,332
259,,,333
260,,,334
261,,,335
262,,,336
263,,,337
264,,,338
265,,,339
266,,,340
267,,,341
268,,,342
269,,,343
270,,,344
271,,,345
272,,,347
273,,,348
274,,,349
275,,,351
276,,,352
277,,,353
278,,,354
279,,,355
280,,,357
281,,,359
282,,,360
283,,,361
284,,,362
285,,,363
286,,,364
287,,,365
288,,,366
289,,,367
290,,,368
291,,,369
292,,,370
293,,,371
294,,,372
295,,,374
296,,,375
297,,,376
298,,,377
299,,,378
300,,,379
301,,,380
302,,,381
303,,,382
304,,,383
305,,,384
306,,,385
307,,,386
308,,,387
309,,,388
310,,,389
311,,,391
312,,,393
313,,,394
314,,,396
315,,,397
316,,,398
317,,,399
318,,,400
319,,,401
320,,,402
321,,,405
322,,,406
323,,,407
324,,,408
325,,,409
326,,,410
327,,,411
328,,,412
329,,,413
330,,,414
331,,,417
332,,,418
333,,,419
334,,,420
335,,,421
336,,,422
337,,,423
338,,,424
339,,,425
340,,,426
341,,,427
342,,,428
343,,,430
344,,,431
345,,,432
346,,,433
347,,,434
348,,,435
349,,,436
350,,,437
351,,,438
352,,,439
353,,,440
354,,,441
355,,,442
356,,,443
357,,,444
358,,,445
359,,,446
360,,,447
361,,,448
362,,,449
363,,,450
364,,,451
365,,,452
366,,,453
367,,,455
368,,,456
369,,,457
370,,,458
371,,,459
372,,,460
373,,,461
374,,,462
375,,,463
376,,,464
377,,,465
378,,,466
379,,,468
380,,,469
381,,,470
382,,,471
383,,,472
384,,,473
385,,,475
386,,,477
387,,,478
388,,,479
389,,,480
390,,,481
391,,,482
392,,,483
393,,,484
394,,,485
395,,,486
396,,,487
397,,,488
398,,,489
399,,,490
400,,,491
401,,,492
402,,,493
403,,,494
404,,,496
405,,,497
406,,,498
407,,,499
408,,,500
409,,,501
410,,,502
411,,,503
412,,,505
413,,,506
414,,,507
415,,,508
416,,,510
417,,,511
418,,,512
419,,,513
420,,,514
421,,,515
422,,,516
423,,,518
424,,,519
425,,,520
426,,,521
427,,,522
428,,,523
429,,,524
430,,,525
431,,,526
432,,,527
433,,,528
434,,,529
435,,,530
436,,,531
437,,,532
438,,,533
439,,,534
440,,,535
441,,,536
442,,,537
443,,,538
444,,,540
445,,,541
446,,,543
447,,,544
448,,,545
449,,,546
450,,,547
451,,,548
452,,,549
453,,,550
454,,,551
455,,,552
456,,,553
457,,,555
458,,,556
459,,,557
460,,,558
461,,,559
462,,,560
463,,,561
464,,,563
465,,,564
466,,,565
467,,,566
468,,,567
469,,,568
470,,,570
471,,,571
472,,,572
473,,,573
474,,,574
475,,,575
476,,,576
477,,,577
478,,,578
479,,,579
480,,,580
481,,,581
482,,,582
483,,,584
484,,,585
485,,,586
486,,,587
487,,,588
488,,,589
489,,,590
490,,,591
491,,,592
492,,,593
493,,,594
494,,,595
495,,,596
496,,,597
497,,,598
498,,,599
499,,,600
500,,,602
501,,,603
502,,,605
503,,,606
504,,,607
505,,,608
506,,,609
507,,,610
508,,,611
509,,,612
510,,,613
511,,,614
512,,,615
513,,,616
514,,,617
515,,,618
516,,,619
517,,,620
518,,,621
519,,,622
520,,,623
521,,,624
522,,,625
523,,,626
524,,,627
525,,,628
526,,,629
527,,,630
528,,,631
529,,,632
530,,,633
531,,,634
532,,,635
533,,,637
534,,,638
535,,,639
536,,,640
537,,,641
538,,,642
539,,,643
540,,,644
541,,,645
542,,,646
543,,,647
544,,,648
545,,,650
546,,,651
547,,,652
548,,,653
549,,,654
550,,,655
551,,,656
552,,,657
553,,,658
554,,,659
555,,,660
556,,,661
557,,,662
558,,,663
559,,,664
560,,,665
561,,,666
562,,,668
563,,,669
564,,,671
565,,,672
566,,,673
567,,,674
568,,,675
569,,,677
570,,,678
571,,,679
572,,,680
573,,,681
574,,,682
575,,,683
576,,,684
577,,,685
578,,,686
579,,,687
580,,,688
581,,,689
582,,,690
583,,,691
584,,,692
585,,,693
586,,,694
587,,,695
588,,,696
589,,,697
590,,,698
591,,,699
592,,,700
593,,,701
594,,,702
595,,,703
596,,,704
597,,,706
598,,,707
599,,,708
600,,,709
601,,,710
602,,,711
603,,,712
604,,,714
605,,,716
606,,,717
607,,,718
608,,,719
609,,,720
610,,,721
611,,,722
612,,,724
613,,,725
614,,,726
615,,,727
616,,,728
617,,,729
618,,,730
619,,,731
620,,,732
621,,,733
622,,,734
623,,,735
624,,,736
625,,,737
626,,,738
627,,,739
628,,,740
629,,,741
630,,,742
631,,,744
632,,,745
633,,,746
634,,,747
635,,,748
636,,,749
637,,,750
638,,,751
639,,,752
640,,,753
641,,,754
642,,,755
643,,,756
644,,,757
645,,,758
646,,,759
647,,,762
648,,,763
649,,,764
650,,,765
651,,,766
652,,,767
653,,,768
654,,,769
655,,,770
656,,,771
657,,,772
658,,,773
659,,,774
660,,,775
661,,,776
662,,,777
663,,,778
664,,,779
665,,,780
666,,,781
667,,,782
668,,,783
669,,,784
670,,,785
671,,,786
672,,,787
673,,,788
674,,,789
675,,,790
676,,,791
677,,,792
678,,,793
679,,,794
680,,,795
681,,,796
682,,,797
683,,,798
684,,,799
685,,,800
686,,,801
687,,,802
688,,,803
689,,,804
690,,,805
691,,,806
692,,,807
693,,,808
694,,,809
695,,,810
696,,,811
697,,,812
698,,,813
699,,,814
700,,,815
701,,,816
702,,,817
703,,,818
704,,,819
705,,,820
706,,,821
707,,,822
708,,,823
709,,,824
710,,,825
711,,,826
712,,,827
713,,,828
714,,,829
715,,,830
716,,,831
717,,,832
718,,,833
719,,,834
720,,,835
721,,,836
722,,,837
723,,,838
724,,,839
725,,,840
726,,,841
727,,,842
728,,,843
729,,,845
730,,,846
731,,,847
732,,,848
733,,,849
734,,,850
735,,,851
736,,,852
737,,,853
738,,,854
739,,,855
740,,,856
741,,,857
742,,,858
743,,,859
744,,,860
745,,,861
746,,,862
747,,,863
748,,,864
749,,,865
750,,,866
751,,,867
752,,,868
753,,,869
754,,,870
755,,,871
756,,,872
757,,,873
758,,,874
759,,,875
760,,,876
761,,,877
762,,,878
763,,,879
764,,,880
765,,,881
766,,,882
767,,,883
768,,,884
769,,,885
770,,,886
771,,,887
772,,,888
773,,,889
774,,,890
775,,,891
776,,,892
777,,,893
778,,,894
779,,,895
780,,,896
781,,,897
782,,,898
783,,,899
784,,,900
785,,,901
786,,,902
787,,,903
788,,,904
789,,,905
790,,,906
791,,,907
792,,,908
793,,,909
794,,,910
795,,,911
796,,,912
797,,,913
798,,,914
799,,,915
800,,,916
801,,,917
802,,,918
803,,,919
804,,,920
805,,,921
806,,,922
807,,,923
808,,,924
809,,,925
810,,,926
811,,,927
812,,,928
813,,,929
814,,,930
815,,,931
816,,,932
817,,,933
818,,,934
819,,,935
820,,,936
821,,,937
822,,,938
823,,,939
824,,,940
825,,,941
826,,,942
827,,,943
828,,,944
829,,,945
830,,,946
831,,,947
832,,,949
833,,,950
834,,,951
835,,,952
836,,,953
837,,,954
838,,,955
839,,,956
840,,,957
841,,,958
842,,,959
843,,,960
844,,,961
845,,,962
846,,,963
847,,,964
848,,,965
849,,,966
850,,,967
851,,,968
852,,,969
853,,,970
854,,,971
855,,,972
856,,,973
857,,,974
858,,,975
859,,,976
860,,,977
861,,,978
862,,,979
863,,,980
864,,,981
865,,,982
866,,,983
867,,,984
868,,,985
869,,,986
870,,,987
871,,,988
872,,,989
873,,,990
874,,,991
875,,,992
876,,,993
877,,,994
878,,,995
879,,,996
880,,,997
881,,,998
882,,,999
883,,,1000
884,,,1001
885,,,1002
886,,,1003
887,,,1004
888,,,1005
